Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
2026-05-30T12:07:03.250Z,USAGE,gpt-4o,No,0,466,7702,258,8426,$0.13
2026-05-30T14:40:50.653Z,USAGE,claude-4-sonnet,Yes,0,3124,10765,2653,16542,$0.04
2026-05-30T15:04:07.877Z,USAGE,composer-1,No,2436,3073,0,797,6306,$0.15
2026-05-30T19:38:33.443Z,USAGE,gpt-4o,No,3132,6658,0,231,10021,$0.10
2026-05-31T08:20:59.325Z,USAGE,claude-4-sonnet,No,3474,3314,6553,3124,16465,$0.15
2026-05-31T08:50:12.928Z,USAGE,claude-4-sonnet,No,0,4375,8507,1172,14054,$0.03
2026-05-31T15:16:02.789Z,USAGE,claude-4-sonnet,No,0,4768,1680,407,6855,$0.11
2026-05-31T16:25:52.569Z,USAGE,claude-4-sonnet,No,0,5950,7325,253,13528,$0.12
2026-05-31T18:12:18.374Z,USAGE,gpt-4o,No,0,769,10445,1743,12957,$0.12
2026-06-01T08:09:54.637Z,USAGE,claude-4-sonnet,No,0,5313,0,349,5662,$0.10
2026-06-01T09:01:47.195Z,USAGE,composer-1,No,0,3654,0,382,4036,$0.05
2026-06-01T10:04:15.816Z,USAGE,gpt-4o,No,0,3122,9032,2700,14854,$0.06
2026-06-01T10:33:23.417Z,USAGE,claude-4-sonnet,No,0,7110,2507,1325,10942,$0.06
2026-06-01T11:50:08.248Z,USAGE,cursor-small,No,0,4550,0,403,4953,$0.09
2026-06-01T12:45:28.224Z,USAGE,cursor-small,No,0,5333,8234,2705,16272,$0.06
2026-06-01T13:32:14.127Z,USAGE,gpt-4o,No,0,7689,0,2388,10077,$0.02
2026-06-01T13:41:17.261Z,USAGE,claude-4-sonnet,Yes,0,5024,3453,3221,11698,$0.14
2026-06-01T13:45:04.576Z,USAGE,claude-4-sonnet,No,0,5558,0,2058,7616,$0.08
2026-06-01T15:12:07.142Z,USAGE,composer-1,No,445,1594,7933,1982,11954,$0.07
2026-06-01T15:33:24.957Z,USAGE,claude-4-sonnet,No,3725,3129,0,615,7469,$0.12
2026-06-01T15:48:04.601Z,USAGE,claude-4-sonnet,No,2041,2330,829,1268,6468,$0.13
2026-06-01T16:07:16.812Z,USAGE,gpt-4o,No,0,6964,9464,3033,19461,$0.11
2026-06-01T16:18:57.314Z,USAGE,claude-4-sonnet,No,0,7501,379,448,8328,$0.13
2026-06-01T17:02:38.160Z,USAGE,cursor-small,No,0,714,9789,2759,13262,$0.16
2026-06-01T17:18:44.960Z,USAGE,claude-4-sonnet,No,1283,6259,6606,1578,15726,$0.02
2026-06-01T18:23:23.401Z,USAGE,gpt-4o,No,0,902,7378,3210,11490,$0.18
2026-06-01T18:28:23.390Z,USAGE,cursor-small,No,596,3526,5555,2364,12041,$0.12
2026-06-01T18:50:28.036Z,USAGE,claude-4-sonnet,No,0,671,11691,1444,13806,$0.16
2026-06-01T18:54:20.700Z,USAGE,claude-4-sonnet,No,2711,2909,10100,3108,18828,$0.10
2026-06-01T19:28:05.849Z,USAGE,gpt-4o,No,0,4911,272,1588,6771,$0.11
2026-06-01T19:40:11.832Z,USAGE,cursor-small,No,0,6241,0,2657,8898,$0.01
2026-06-01T20:31:01.378Z,USAGE,claude-4-sonnet,No,0,5038,0,3034,8072,$0.02
2026-06-01T20:47:43.167Z,USAGE,claude-4-sonnet,No,0,7190,11153,1072,19415,$0.02
2026-06-01T21:04:28.181Z,USAGE,composer-1,No,0,3730,11313,915,15958,$0.14
2026-06-01T21:10:45.744Z,USAGE,gpt-4o,No,0,6258,2262,2204,10724,$0.07
2026-06-02T08:06:26.346Z,USAGE,claude-4-sonnet,No,0,4196,3267,3176,10639,$0.10
2026-06-02T11:03:42.949Z,USAGE,gpt-4o,No,2551,2202,11847,232,16832,$0.06
2026-06-02T11:17:35.312Z,USAGE,composer-1,No,3625,3552,0,843,8020,$0.10
2026-06-02T11:19:49.303Z,USAGE,claude-4-sonnet,No,1572,2631,10507,2305,17015,$0.17
2026-06-02T12:39:30.201Z,USAGE,cursor-small,No,0,1879,0,1434,3313,$0.06
2026-06-02T12:45:05.363Z,USAGE,gpt-4o,No,1580,6777,11049,3181,22587,$0.07
2026-06-02T13:42:30.551Z,USAGE,cursor-small,No,0,4521,6567,2821,13909,$0.04
2026-06-02T14:20:11.481Z,USAGE,claude-4-sonnet,No,1268,3442,4374,1430,10514,$0.10
2026-06-02T14:52:22.810Z,USAGE,gpt-4o,No,0,2235,1936,1986,6157,$0.10
2026-06-02T15:13:12.868Z,USAGE,composer-1,No,0,6606,1923,2696,11225,$0.10
2026-06-02T15:20:30.365Z,USAGE,claude-4-sonnet,No,0,4027,0,2561,6588,$0.12
2026-06-02T15:41:16.783Z,USAGE,gpt-4o,No,0,5740,0,3200,8940,$0.08
2026-06-02T16:14:40.244Z,USAGE,gpt-4o,No,0,4626,0,399,5025,$0.04
2026-06-02T16:17:59.589Z,Included,gpt-4o,No,0,1527,8525,1889,11941,Included
2026-06-02T16:21:34.371Z,Included,claude-4-sonnet,No,2290,3949,0,1937,8176,Included
2026-06-02T16:59:59.834Z,Included,gpt-4o,No,0,5811,0,3042,8853,Included
2026-06-02T17:43:34.398Z,Included,claude-4-sonnet,Yes,499,671,11475,341,12986,Included
2026-06-02T17:47:37.250Z,USAGE,claude-4-sonnet,No,0,4167,6698,817,11682,$0.05
2026-06-02T18:41:51.726Z,USAGE,cursor-small,No,0,7601,6184,1618,15403,$0.03
2026-06-02T18:49:55.755Z,USAGE,composer-1,No,0,3148,8802,1689,13639,$0.17
2026-06-02T19:13:44.739Z,Included,cursor-small,No,0,2744,11781,2310,16835,Included
2026-06-02T19:17:08.114Z,USAGE,claude-4-sonnet,No,0,1570,11878,3215,16663,$0.04
2026-06-02T19:17:18.127Z,Included,composer-1,No,0,7583,3376,355,11314,Included
2026-06-02T19:30:06.714Z,Included,claude-4-sonnet,No,0,698,724,1727,3149,Included
2026-06-02T20:08:00.577Z,USAGE,gpt-4o,No,0,1447,4739,1039,7225,$0.11
2026-06-02T20:09:18.044Z,USAGE,composer-1,No,3789,1473,0,2215,7477,$0.08
2026-06-03T08:17:24.706Z,USAGE,composer-1,No,0,2260,0,3256,5516,$0.10
2026-06-03T09:12:51.798Z,USAGE,gpt-4o,No,2300,7531,1615,3368,14814,$0.16
2026-06-03T09:47:48.502Z,USAGE,claude-4-sonnet,No,387,4908,0,3116,8411,$0.05
2026-06-03T10:24:15.267Z,Included,gpt-4o,No,0,2718,5404,1022,9144,Included
2026-06-03T10:40:43.447Z,USAGE,composer-1,No,0,5910,8005,3043,16958,$0.16
2026-06-03T10:48:34.496Z,USAGE,composer-1,No,2438,4300,8882,2708,18328,$0.02
2026-06-03T11:21:41.082Z,USAGE,composer-1,Yes,0,697,0,1769,2466,$0.05
2026-06-03T11:30:13.911Z,USAGE,claude-4-sonnet,No,2271,4035,10122,2692,19120,$0.16
2026-06-03T11:54:14.315Z,USAGE,claude-4-sonnet,No,0,437,4501,2274,7212,$0.10
2026-06-03T11:59:12.777Z,Included,composer-1,No,0,7752,1578,2227,11557,Included
2026-06-03T12:17:03.583Z,Included,claude-4-sonnet,No,0,2489,0,403,2892,Included
2026-06-03T13:19:58.016Z,USAGE,gpt-4o,No,0,2150,1320,2757,6227,$0.02
2026-06-03T14:09:19.394Z,Included,claude-4-sonnet,No,238,6057,8189,1857,16341,Included
2026-06-03T14:26:35.555Z,USAGE,claude-4-sonnet,No,0,7630,697,1021,9348,$0.07
2026-06-03T15:54:23.096Z,USAGE,composer-1,No,3985,909,0,1228,6122,$0.18
2026-06-03T15:58:03.589Z,USAGE,claude-4-sonnet,No,1048,5108,11677,3442,21275,$0.13
2026-06-03T16:20:44.436Z,USAGE,claude-4-sonnet,No,0,7258,8856,1438,17552,$0.13
2026-06-03T16:31:03.361Z,USAGE,claude-4-sonnet,No,0,4402,0,1496,5898,$0.02
2026-06-03T16:46:53.199Z,Included,claude-4-sonnet,Yes,0,5328,0,1704,7032,Included
2026-06-03T17:38:02.916Z,USAGE,claude-4-sonnet,No,0,3990,5829,2345,12164,$0.13
2026-06-03T17:46:42.585Z,USAGE,composer-1,No,2733,2719,0,3000,8452,$0.03
2026-06-03T17:56:47.955Z,Included,claude-4-sonnet,No,0,6359,5909,516,12784,Included
2026-06-03T18:42:24.823Z,Included,cursor-small,No,0,1137,3070,1845,6052,Included
2026-06-03T21:45:09.844Z,USAGE,gpt-4o,No,1649,4840,9798,3293,19580,$0.11
2026-06-04T09:52:54.834Z,USAGE,claude-4-sonnet,No,0,5069,8300,2913,16282,$0.14
2026-06-04T09:59:36.209Z,USAGE,composer-1,No,0,4698,0,428,5126,$0.04
2026-06-04T10:08:17.315Z,USAGE,composer-1,No,0,662,0,2722,3384,$0.13
2026-06-04T10:27:17.441Z,USAGE,claude-4-sonnet,No,603,2419,8499,2365,13886,$0.08
2026-06-04T10:40:19.253Z,USAGE,claude-4-sonnet,No,0,4399,402,2057,6858,$0.04
2026-06-04T11:20:24.293Z,USAGE,cursor-small,No,0,6281,5110,1485,12876,$0.15
2026-06-04T11:29:06.142Z,USAGE,gpt-4o,No,3157,6007,1100,1309,11573,$0.02
2026-06-04T12:00:25.348Z,USAGE,claude-4-sonnet,No,0,5847,0,3113,8960,$0.08
2026-06-04T12:30:50.080Z,USAGE,gpt-4o,No,0,4085,6636,2659,13380,$0.06
2026-06-04T12:31:09.066Z,USAGE,composer-1,No,0,7534,9702,1839,19075,$0.13
2026-06-04T12:42:09.749Z,Included,claude-4-sonnet,No,0,6820,1667,3354,11841,Included
2026-06-04T13:16:15.755Z,USAGE,claude-4-sonnet,No,0,2449,0,2084,4533,$0.17
2026-06-04T13:18:47.728Z,USAGE,claude-4-sonnet,No,0,1235,7501,2608,11344,$0.06
2026-06-04T13:38:44.210Z,USAGE,composer-1,No,0,994,0,1362,2356,$0.04
2026-06-04T14:00:18.433Z,USAGE,claude-4-sonnet,No,1791,3726,0,2434,7951,$0.13
2026-06-04T14:49:05.760Z,USAGE,gpt-4o,No,0,7924,0,2352,10276,$0.06
2026-06-04T14:52:52.901Z,USAGE,claude-4-sonnet,No,0,739,0,119,858,$0.16
2026-06-04T15:20:11.417Z,Included,composer-1,No,0,4354,8056,1782,14192,Included
2026-06-04T15:45:13.459Z,USAGE,gpt-4o,No,0,6819,0,1276,8095,$0.02
2026-06-04T16:10:43.399Z,USAGE,gpt-4o,No,0,6382,0,2108,8490,$0.18
2026-06-04T16:57:15.599Z,USAGE,gpt-4o,No,0,3305,681,3192,7178,$0.15
2026-06-04T17:34:11.714Z,USAGE,cursor-small,No,0,6455,528,1922,8905,$0.09
2026-06-04T18:31:36.819Z,USAGE,composer-1,No,0,6653,0,939,7592,$0.12
2026-06-04T18:31:38.646Z,USAGE,gpt-4o,No,0,6729,3390,3379,13498,$0.02
2026-06-04T18:38:08.315Z,USAGE,gpt-4o,No,3083,2697,4380,2187,12347,$0.04
2026-06-04T20:18:53.726Z,Included,composer-1,No,1335,7402,0,2953,11690,Included
2026-06-04T20:26:43.523Z,USAGE,claude-4-sonnet,No,0,6537,0,1688,8225,$0.16
2026-06-04T20:35:01.762Z,Included,gpt-4o,No,0,918,0,3229,4147,Included
2026-06-04T21:21:28.350Z,Included,gpt-4o,No,0,3323,7996,1420,12739,Included
2026-06-04T21:39:24.843Z,USAGE,cursor-small,No,2077,5500,0,1547,9124,$0.03
2026-06-04T21:50:25.382Z,USAGE,claude-4-sonnet,No,0,4352,4646,1463,10461,$0.18
2026-06-05T08:07:59.899Z,USAGE,claude-4-sonnet,No,0,7835,11248,1892,20975,$0.07
2026-06-05T09:14:24.093Z,Included,claude-4-sonnet,No,0,3445,7035,1368,11848,Included
2026-06-05T09:45:06.001Z,USAGE,claude-4-sonnet,No,2661,5215,0,1247,9123,$0.01
2026-06-05T10:24:49.852Z,USAGE,composer-1,No,0,4474,6418,1290,12182,$0.02
2026-06-05T10:28:29.000Z,USAGE,composer-1,No,0,2274,9730,370,12374,$0.17
2026-06-05T10:36:54.508Z,USAGE,claude-4-sonnet,No,1784,7351,0,1803,10938,$0.12
2026-06-05T10:55:59.919Z,USAGE,claude-4-sonnet,No,0,897,1106,136,2139,$0.09
2026-06-05T10:56:41.316Z,USAGE,cursor-small,No,0,2646,0,2132,4778,$0.14
2026-06-05T11:30:04.139Z,USAGE,gpt-4o,No,0,1550,5077,403,7030,$0.17
2026-06-05T12:05:23.696Z,USAGE,cursor-small,No,2602,5496,0,2741,10839,$0.03
2026-06-05T12:05:41.377Z,USAGE,gpt-4o,No,1201,1006,0,555,2762,$0.15
2026-06-05T13:23:56.313Z,USAGE,claude-4-sonnet,No,0,1738,11598,642,13978,$0.01
2026-06-05T13:52:07.902Z,USAGE,cursor-small,No,0,6204,6092,599,12895,$0.09
2026-06-05T14:12:44.953Z,USAGE,claude-4-sonnet,No,1958,2528,4308,2997,11791,$0.03
